name,registeredUsers,appOpens,year,quarter,state
vizianagaram district,839606,56101822,2021,4,andhra-pradesh
ysr district,1262963,83534122,2021,4,andhra-pradesh
west godavari district,1532898,100007280,2021,4,andhra-pradesh
chittoor district,2141818,154395512,2021,4,andhra-pradesh
lower subansiri district,498,0,2018,1,arunachal-pradesh
tirap district,557,0,2018,1,arunachal-pradesh
papum pare district,7649,0,2018,1,arunachal-pradesh
anjaw district,278,0,2018,1,arunachal-pradesh
lower siang district,270,0,2018,1,arunachal-pradesh
dibang valley district,66,0,2018,1,arunachal-pradesh
west kameng district,2202,0,2018,1,arunachal-pradesh
shi yomi district,49,0,2018,1,arunachal-pradesh
east kameng district,222,0,2018,1,arunachal-pradesh
lohit district,1207,0,2018,1,arunachal-pradesh
lepa rada district,210,0,2018,1,arunachal-pradesh
lower dibang valley district,601,0,2018,1,arunachal-pradesh
longding district,256,0,2018,1,arunachal-pradesh
west siang district,846,0,2018,1,arunachal-pradesh
kamle district,22,0,2018,1,arunachal-pradesh
upper siang district,301,0,2018,1,arunachal-pradesh
kurung kumey district,97,0,2018,1,arunachal-pradesh
siang district,192,0,2018,1,arunachal-pradesh
kra daadi district,88,0,2018,1,arunachal-pradesh
changlang district,1208,0,2018,1,arunachal-pradesh
pakke kessang district,39,0,2018,1,arunachal-pradesh
east siang district,1803,0,2018,1,arunachal-pradesh
upper subansiri district,572,0,2018,1,arunachal-pradesh
tawang district,1525,0,2018,1,arunachal-pradesh
namsai district,737,0,2018,1,arunachal-pradesh
lower subansiri district,724,0,2018,2,arunachal-pradesh
tirap district,856,0,2018,2,arunachal-pradesh
papum pare district,11418,0,2018,2,arunachal-pradesh
anjaw district,410,0,2018,2,arunachal-pradesh
lower siang district,494,0,2018,2,arunachal-pradesh
dibang valley district,112,0,2018,2,arunachal-pradesh
west kameng district,3442,0,2018,2,arunachal-pradesh
shi yomi district,80,0,2018,2,arunachal-pradesh
east kameng district,343,0,2018,2,arunachal-pradesh
lohit district,1898,0,2018,2,arunachal-pradesh
lepa rada district,318,0,2018,2,arunachal-pradesh
lower dibang valley district,893,0,2018,2,arunachal-pradesh
longding district,412,0,2018,2,arunachal-pradesh
west siang district,1224,0,2018,2,arunachal-pradesh
kamle district,37,0,2018,2,arunachal-pradesh
upper siang district,481,0,2018,2,arunachal-pradesh
kurung kumey district,153,0,2018,2,arunachal-pradesh
siang district,293,0,2018,2,arunachal-pradesh
kra daadi district,144,0,2018,2,arunachal-pradesh
changlang district,2014,0,2018,2,arunachal-pradesh
pakke kessang district,66,0,2018,2,arunachal-pradesh
east siang district,2646,0,2018,2,arunachal-pradesh
upper subansiri district,883,0,2018,2,arunachal-pradesh
tawang district,2266,0,2018,2,arunachal-pradesh
namsai district,1276,0,2018,2,arunachal-pradesh
lower subansiri district,1033,0,2018,3,arunachal-pradesh
tirap district,1226,0,2018,3,arunachal-pradesh
papum pare district,16009,0,2018,3,arunachal-pradesh
anjaw district,542,0,2018,3,arunachal-pradesh
lower siang district,717,0,2018,3,arunachal-pradesh
dibang valley district,145,0,2018,3,arunachal-pradesh
west kameng district,4765,0,2018,3,arunachal-pradesh
shi yomi district,118,0,2018,3,arunachal-pradesh
east kameng district,521,0,2018,3,arunachal-pradesh
lohit district,2612,0,2018,3,arunachal-pradesh
lepa rada district,431,0,2018,3,arunachal-pradesh
