type,count,amount,name,from,to,year,quarter,state
TOTAL,243951,332740108.6635881,Financial Services,1633026600000,1640629800000,2021,4,andhra-pradesh
TOTAL,701856,545223415.6638832,Others,1633026600000,1640629800000,2021,4,andhra-pradesh
TOTAL,28729,5184132.514934338,Recharge & bill payments,1514745000000,1522175400000,2018,1,arunachal-pradesh
TOTAL,13320,82889682.72418305,Peer-to-peer payments,1514745000000,1522175400000,2018,1,arunachal-pradesh
TOTAL,1042,2420374.1905855755,Merchant payments,1514745000000,1522175400000,2018,1,arunachal-pradesh
TOTAL,416,58893.76201533088,Financial Services,1514745000000,1522175400000,2018,1,arunachal-pradesh
TOTAL,1990,1834252.8176908877,Others,1514745000000,1522175400000,2018,1,arunachal-pradesh
TOTAL,50700,10468878.537107183,Recharge & bill payments,1522521000000,1530124200000,2018,2,arunachal-pradesh
TOTAL,26477,181576281.19464755,Peer-to-peer payments,1522521000000,1530124200000,2018,2,arunachal-pradesh
TOTAL,2378,4718953.439561011,Merchant payments,1522521000000,1530124200000,2018,2,arunachal-pradesh
TOTAL,559,363761.80159549194,Financial Services,1522521000000,1530124200000,2018,2,arunachal-pradesh
TOTAL,2043,1842317.3691352482,Others,1522521000000,1530124200000,2018,2,arunachal-pradesh
TOTAL,74122,15997565.906016497,Recharge & bill payments,1530383400000,1538073000000,2018,3,arunachal-pradesh
TOTAL,49740,308106303.45342577,Peer-to-peer payments,1530383400000,1538073000000,2018,3,arunachal-pradesh
TOTAL,4738,5505694.567913429,Merchant payments,1530383400000,1538073000000,2018,3,arunachal-pradesh
TOTAL,507,72133.845254878,Financial Services,1530383400000,1538073000000,2018,3,arunachal-pradesh
TOTAL,2039,2044708.9687807972,Others,1530383400000,1538073000000,2018,3,arunachal-pradesh
TOTAL,97751,20662691.882313278,Recharge & bill payments,1538332200000,1545935400000,2018,4,arunachal-pradesh
TOTAL,68169,468831493.2328036,Peer-to-peer payments,1538332200000,1545935400000,2018,4,arunachal-pradesh
TOTAL,7726,11998974.1040326,Merchant payments,1538332200000,1545935400000,2018,4,arunachal-pradesh
TOTAL,561,100597.90379906222,Financial Services,1538332200000,1545935400000,2018,4,arunachal-pradesh
TOTAL,2222,2446271.9688117937,Others,1538332200000,1545935400000,2018,4,arunachal-pradesh
TOTAL,121303,26796894.998233315,Recharge & bill payments,1546281000000,1553711400000,2019,1,arunachal-pradesh
TOTAL,93494,568554821.4456317,Peer-to-peer payments,1546281000000,1553711400000,2019,1,arunachal-pradesh
TOTAL,9214,11727218.401334248,Merchant payments,1546281000000,1553711400000,2019,1,arunachal-pradesh
TOTAL,256,140622.87093631705,Financial Services,1546281000000,1553711400000,2019,1,arunachal-pradesh
TOTAL,2239,2730548.5978140826,Others,1546281000000,1553711400000,2019,1,arunachal-pradesh
TOTAL,131988,30420803.41271234,Recharge & bill payments,1554057000000,1561660200000,2019,2,arunachal-pradesh
TOTAL,106527,704237943.4054435,Peer-to-peer payments,1554057000000,1561660200000,2019,2,arunachal-pradesh
TOTAL,16828,13955724.130712911,Merchant payments,1554057000000,1561660200000,2019,2,arunachal-pradesh
TOTAL,267,160660.8821362781,Financial Services,1554057000000,1561660200000,2019,2,arunachal-pradesh
TOTAL,3046,3880742.524023137,Others,1554057000000,1561660200000,2019,2,arunachal-pradesh
TOTAL,216228,50946104.94289842,Recharge & bill payments,1561919400000,1569609000000,2019,3,arunachal-pradesh
TOTAL,133484,841037395.2474606,Peer-to-peer payments,1561919400000,1569609000000,2019,3,arunachal-pradesh
TOTAL,16900,17178248.07427002,Merchant payments,1561919400000,1569609000000,2019,3,arunachal-pradesh
TOTAL,864,64089.11350267195,Financial Services,1561919400000,1569609000000,2019,3,arunachal-pradesh
TOTAL,2758,3419197.4177385764,Others,1561919400000,1569609000000,2019,3,arunachal-pradesh
TOTAL,259183,63516906.09060433,Recharge & bill payments,1569868200000,1577471400000,2019,4,arunachal-pradesh
TOTAL,177833,1100137447.9340453,Peer-to-peer payments,1569868200000,1577471400000,2019,4,arunachal-pradesh
TOTAL,19769,23192271.691576812,Merchant payments,1569868200000,1577471400000,2019,4,arunachal-pradesh
TOTAL,314,305379.7987782319,Financial Services,1569868200000,1577471400000,2019,4,arunachal-pradesh
TOTAL,2376,3421174.01227797,Others,1569868200000,1577471400000,2019,4,arunachal-pradesh
TOTAL,329834,86011654.77474582,Recharge & bill payments,1577817000000,1585333800000,2020,1,arunachal-pradesh
TOTAL,203429,1263912288.4066367,Peer-to-peer payments,1577817000000,1585333800000,2020,1,arunachal-pradesh
TOTAL,31181,28553052.133918796,Merchant payments,1577817000000,1585333800000,2020,1,arunachal-pradesh
TOTAL,470,337812.94816169393,Financial Services,1577817000000,1585333800000,2020,1,arunachal-pradesh
TOTAL,2261,2943873.0666838237,Others,1577817000000,1585333800000,2020,1,arunachal-pradesh
TOTAL,522495,145198528.22961134,Recharge & bill payments,1585679400000,1593282600000,2020,2,arunachal-pradesh
TOTAL,247861,1630654426.0441835,Peer-to-peer payments,1585679400000,1593282600000,2020,2,arunachal-pradesh
TOTAL,35169,46446966.612447515,Merchant payments,1585679400000,1593282600000,2020,2,arunachal-pradesh
TOTAL,1310,2655507.6964110374,Financial Services,1585679400000,1593282600000,2020,2,arunachal-pradesh
TOTAL,1939,1761404.4023099935,Others,1585679400000,1593282600000,2020,2,arunachal-pradesh
TOTAL,514907,153463816.21184397,Recharge & bill payments,1593541800000,1601231400000,2020,3,arunachal-pradesh
TOTAL,370418,2361603431.37578,Peer-to-peer payments,1593541800000,1601231400000,2020,3,arunachal-pradesh
TOTAL,72736,88145178.69272713,Merchant payments,1593541800000,1601231400000,2020,3,arunachal-pradesh
TOTAL,1761,4030599.9171272423,Financial Services,1593541800000,1601231400000,2020,3,arunachal-pradesh
TOTAL,3005,2695539.3607389224,Others,1593541800000,1601231400000,2020,3,arunachal-pradesh
TOTAL,522019,3254744938.4105625,Peer-to-peer payments,1601490600000,1609093800000,2020,4,arunachal-pradesh
TOTAL,513895,152389181.21743062,Recharge & bill payments,1601490600000,1609093800000,2020,4,arunachal-pradesh
TOTAL,167387,156682926.02384603,Merchant payments,1601490600000,1609093800000,2020,4,arunachal-pradesh
TOTAL,1749,2391651.8783250954,Financial Services,1601490600000,1609093800000,2020,4,arunachal-pradesh
TOTAL,4079,4055324.315454754,Others,1601490600000,1609093800000,2020,4,arunachal-pradesh
TOTAL,566209,3460488558.9436507,Peer-to-peer payments,1609439400000,1616869800000,2021,1,arunachal-pradesh
TOTAL,450649,142358376.9003836,Recharge & bill payments,1609439400000,1616869800000,2021,1,arunachal-pradesh
TOTAL,155966,204958020.0891498,Merchant payments,1609439400000,1616869800000,2021,1,arunachal-pradesh
TOTAL,1558,2672460.4740365944,Financial Services,1609439400000,1616869800000,2021,1,arunachal-pradesh
TOTAL,3074,3301662.6094231335,Others,1609439400000,1616869800000,2021,1,arunachal-pradesh
TOTAL,762946,4000960152.0755496,Peer-to-peer payments,1617215400000,1624818600000,2021,2,arunachal-pradesh
TOTAL,556680,165579844.25105897,Recharge & bill payments,1617215400000,1624818600000,2021,2,arunachal-pradesh
