type,count,amount,name,year,quarter,state
TOTAL,4596479,9710614747.20177,west godavari district,2019,4,andhra-pradesh
TOTAL,7001958,13233105728.54823,kurnool district,2019,4,andhra-pradesh
TOTAL,11246986,19298476027.875484,chittoor district,2019,4,andhra-pradesh
TOTAL,9761330,18565626418.035915,guntur district,2019,4,andhra-pradesh
TOTAL,11719402,23039786404.04664,krishna district,2019,4,andhra-pradesh
TOTAL,11346242,21854701379.428688,east godavari district,2020,1,andhra-pradesh
TOTAL,4835092,9777575594.177538,srikakulam district,2020,1,andhra-pradesh
TOTAL,7430247,15387829694.446861,spsr nellore district,2020,1,andhra-pradesh
TOTAL,5042066,9879174240.920494,vizianagaram district,2020,1,andhra-pradesh
TOTAL,27115031,48809747614.678894,visakhapatnam district,2020,1,andhra-pradesh
TOTAL,6318396,14169104764.526735,prakasam district,2020,1,andhra-pradesh
TOTAL,8466129,17864325752.82528,anantapur district,2020,1,andhra-pradesh
TOTAL,6031255,14059924636.819912,ysr district,2020,1,andhra-pradesh
TOTAL,5919670,12995834340.716236,west godavari district,2020,1,andhra-pradesh
TOTAL,8246869,17022710311.813046,kurnool district,2020,1,andhra-pradesh
TOTAL,13257740,23441848567.344193,chittoor district,2020,1,andhra-pradesh
TOTAL,11493331,22992734620.64621,guntur district,2020,1,andhra-pradesh
TOTAL,12175289,24481702770.71471,krishna district,2020,1,andhra-pradesh
TOTAL,13130334,26319906327.32029,east godavari district,2020,2,andhra-pradesh
TOTAL,6425515,12153650076.875832,srikakulam district,2020,2,andhra-pradesh
TOTAL,9454274,20665376460.772232,spsr nellore district,2020,2,andhra-pradesh
TOTAL,6690313,12819344389.545382,vizianagaram district,2020,2,andhra-pradesh
TOTAL,25300401,48293889917.41437,visakhapatnam district,2020,2,andhra-pradesh
TOTAL,8844580,19846026726.904335,prakasam district,2020,2,andhra-pradesh
TOTAL,10473739,22094006659.412506,anantapur district,2020,2,andhra-pradesh
TOTAL,8033609,19597207268.132023,ysr district,2020,2,andhra-pradesh
TOTAL,7273096,16585866855.159784,west godavari district,2020,2,andhra-pradesh
TOTAL,9821381,22419372061.805172,kurnool district,2020,2,andhra-pradesh
TOTAL,14848197,27361300300.01902,chittoor district,2020,2,andhra-pradesh
TOTAL,12308707,27463593607.839108,guntur district,2020,2,andhra-pradesh
TOTAL,12313709,26964149095.366295,krishna district,2020,2,andhra-pradesh
TOTAL,17972431,39300043804.75851,east godavari district,2020,3,andhra-pradesh
TOTAL,8286289,18029574581.337425,srikakulam district,2020,3,andhra-pradesh
TOTAL,16468209,39128324534.03022,spsr nellore district,2020,3,andhra-pradesh
TOTAL,8236703,17567816576.501263,vizianagaram district,2020,3,andhra-pradesh
TOTAL,34421299,67628440368.111465,visakhapatnam district,2020,3,andhra-pradesh
TOTAL,12266310,31221704852.44969,prakasam district,2020,3,andhra-pradesh
TOTAL,14447683,34102037972.65785,anantapur district,2020,3,andhra-pradesh
TOTAL,11934653,32037007334.12973,ysr district,2020,3,andhra-pradesh
TOTAL,10412351,25408608725.754295,west godavari district,2020,3,andhra-pradesh
