entityName,metric.type,metric.count,metric.amount,year,quarter,state
744103,TOTAL,46884,138264791.5489212,2020,4,andaman-&-nicobar-islands
744101,TOTAL,40392,136401368.02166596,2020,4,andaman-&-nicobar-islands
744105,TOTAL,34410,87838226.93633425,2020,4,andaman-&-nicobar-islands
744102,TOTAL,26694,76348598.32238364,2020,4,andaman-&-nicobar-islands
744202,TOTAL,10949,25543799.074759968,2020,4,andaman-&-nicobar-islands
744107,TOTAL,9743,18083250.19055397,2020,4,andaman-&-nicobar-islands
744104,TOTAL,7654,19126095.533284884,2020,4,andaman-&-nicobar-islands
744112,TOTAL,7016,15890275.050448488,2020,4,andaman-&-nicobar-islands
744205,TOTAL,5118,12002695.281042248,2020,4,andaman-&-nicobar-islands
744201,TOTAL,5011,6777275.536669218,2020,4,andaman-&-nicobar-islands
south andaman,TOTAL,207092,669604045.1248703,2021,1,andaman-&-nicobar-islands
north and middle andaman,TOTAL,27358,75027255.27919498,2021,1,andaman-&-nicobar-islands
nicobars,TOTAL,10302,39075266.9856904,2021,1,andaman-&-nicobar-islands
744101,TOTAL,55726,190830957.0606181,2021,1,andaman-&-nicobar-islands
744103,TOTAL,47328,158404100.7854989,2021,1,andaman-&-nicobar-islands
744105,TOTAL,35467,111571687.43195169,2021,1,andaman-&-nicobar-islands
744102,TOTAL,23957,80750048.8238959,2021,1,andaman-&-nicobar-islands
744211,TOTAL,10648,34956327.94105429,2021,1,andaman-&-nicobar-islands
744202,TOTAL,10597,28127629.877961583,2021,1,andaman-&-nicobar-islands
744107,TOTAL,8848,19627951.469969153,2021,1,andaman-&-nicobar-islands
744104,TOTAL,8799,27854306.51949638,2021,1,andaman-&-nicobar-islands
744112,TOTAL,7113,21084790.0528014,2021,1,andaman-&-nicobar-islands
744301,TOTAL,5630,22671937.31314759,2021,1,andaman-&-nicobar-islands
south andaman,TOTAL,286907,760893020.5704947,2021,2,andaman-&-nicobar-islands
north and middle andaman,TOTAL,39200,90233388.79463303,2021,2,andaman-&-nicobar-islands
nicobars,TOTAL,15307,48020606.74716838,2021,2,andaman-&-nicobar-islands
744101,TOTAL,73334,227585492.7414593,2021,2,andaman-&-nicobar-islands
744103,TOTAL,66321,174752815.1688521,2021,2,andaman-&-nicobar-islands
744105,TOTAL,52645,134835744.22049245,2021,2,andaman-&-nicobar-islands
744102,TOTAL,34289,100890426.76234055,2021,2,andaman-&-nicobar-islands
744202,TOTAL,16476,40647907.96960775,2021,2,andaman-&-nicobar-islands
744107,TOTAL,14524,24690581.539094776,2021,2,andaman-&-nicobar-islands
744104,TOTAL,11278,28333852.06159348,2021,2,andaman-&-nicobar-islands
